Designator,Footprint,,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C25,C_0603_1608Metric,,115.84178,-85.23372,,,,,T,-90,100nF
C26,C_0603_1608Metric,,113.87934,-85.23372,,,,,T,-90,100nF
C27,C_0603_1608Metric,,117.09146,-98.34012,,,,,T,90,100nF
C28,C_0603_1608Metric,,124.0739,-92.99194,,,,,T,180,100nF
C29,C_0603_1608Metric,,124.0739,-89.79642,,,,,T,180,100nF
C30,C_0603_1608Metric,,110.9421,-92.39074,,,,,T,0,100nF
C31,C_0603_1608Metric,,110.93958,-83.06054,,,,,T,0,33pF
C32,C_0603_1608Metric,,120.64492,-98.34012,,,,,T,90,100nF
C33,C_0603_1608Metric,,115.57762,-98.34012,,,,,T,90,100nF
C34,C_0603_1608Metric,,124.0739,-91.31554,,,,,T,180,100nF
C35,C_0402_1005Metric,,118.67134,-79.13878,,,,,T,-90,100nF
C36,C_0402_1005Metric,,117.68836,-79.14132,,,,,T,-90,100nF
C37,C_0402_1005Metric,,111.92256,-79.13772,,,,,T,-90,0R
C38,C_0402_1005Metric,,112.35436,-98.34012,,,,,T,-90,1uF
C39,C_0402_1005Metric,,110.93958,-79.13772,,,,,T,-90,0R
C40,C_0603_1608Metric,,122.1075,-101.56246,,,,,T,90,10uF
C41,C_0402_1005Metric,,112.05464,-109.855,,,,,T,0,10nF
C42,C_0402_1005Metric,,112.05464,-110.82828,,,,,T,0,10nF
C43,C_0402_1005Metric,,112.05464,-107.696,,,,,T,0,10nF
C44,C_0402_1005Metric,,112.05464,-108.66882,,,,,T,0,10nF
C45,C_0603_1608Metric,,123.62896,-101.56022,,,,,T,90,0.1uF
C46,C_0603_1608Metric,,124.0739,-88.27516,,,,,T,180,100nF
C47,C_0603_1608Metric,,119.126,-98.34012,,,,,T,90,100nF
C48,C_0603_1608Metric,,113.657223,-132.690912,,,,,T,45,25pF
C49,C_0603_1608Metric,,109.579452,-128.615283,,,,,T,45,25pF
C50,C_0603_1608Metric,,127.35022,-102.98176,,,,,T,0,100nF
C51,C_0603_1608Metric,,117.36324,-112.58952,,,,,T,-90,100nF
C52,C_0603_1608Metric,,126.6139,-118.63324,,,,,T,180,100nF
C53,C_0603_1608Metric,,117.8687,-128.66772,,,,,T,90,100nF
C54,C_0603_1608Metric,,110.49762,-119.38254,,,,,T,0,100nF
C55,C_0603_1608Metric,,110.49762,-122.1867,,,,,T,0,100nF
C56,C_0603_1608Metric,,114.33048,-112.59282,,,,,T,-90,100nF
C57,C_0402_1005Metric,,122.1613,-128.66772,,,,,T,-90,1uF
C58,C_0603_1608Metric,,126.62154,-117.11686,,,,,T,180,100nF
C59,C_0603_1608Metric,,116.34216,-128.66772,,,,,T,90,100nF
C60,C_0603_1608Metric,,119.33174,-112.58952,,,,,T,-90,100nF
C61,C_0603_1608Metric,,115.84432,-112.59282,,,,,T,-90,100nF
C62,C_0603_1608Metric,,110.49762,-117.85854,,,,,T,0,100nF
C63,C_0603_1608Metric,,110.49762,-123.70562,,,,,T,0,100nF
C64,C_0603_1608Metric,,119.40032,-128.66772,,,,,T,90,100nF
C65,C_0603_1608Metric,,126.6139,-123.1519,,,,,T,180,100nF
C130,C_0603_1608Metric,,126.6139,-121.6279,,,,,T,180,100nF
C131,C_0603_1608Metric,,114.81816,-128.66772,,,,,T,90,100nF
C132,C_0603_1608Metric,,120.9167,-128.66772,,,,,T,90,100nF
D1,LED_0805_2012Metric,,181.4156,-71.2259,,,,,T,90,LED
D2,LED_0805_2012Metric,,181.41556,-77.4713,,,,,T,-90,LED
D3,LED_0805_2012Metric,,181.41556,-111.1173,,,,,T,-90,LED
D4,LED_0805_2012Metric,,181.4156,-104.8719,,,,,T,90,LED
D5,LED_0805_2012Metric,,181.41556,-127.9203,,,,,T,-90,LED
D6,LED_0805_2012Metric,,181.4156,-121.6949,,,,,T,90,LED
D7,LED_0805_2012Metric,,181.41556,-94.2943,,,,,T,-90,LED
D8,LED_0805_2012Metric,,181.4156,-88.0489,,,,,T,90,LED
J4,SATA 29pin smd,,132.24232,-79.03414,,,,,T,0,SATA硬盘插头
J5,SATA 29pin smd,,132.24232,-112.69414,,,,,T,0,SATA硬盘插头
J6,SATA 29pin smd,,132.24232,-129.51714,,,,,T,0,SATA硬盘插头
J7,SATA 29pin smd,,132.24232,-95.86414,,,,,T,0,SATA硬盘插头
L5,L_Chilisin_BMRA00040420,,118.46052,-102.38994,,,,,T,0,4.7uH
Q1,SOIC-8_3.9x4.9mm_Pitch1.27mm,,142.1638,-71.82252,,,,,T,-90,AO4407A
Q2,SOIC-8_3.9x4.9mm_Pitch1.27mm,,136.3726,-71.81,,,,,T,-90,AO4407A
R23,R_0402_1005Metric,,124.0739,-94.4499,,,,,T,0,100K
R24,R_0402_1005Metric,,114.32032,-98.34012,,,,,T,90,330K
R25,R_0402_1005Metric,,113.33734,-98.34012,,,,,T,-90,4.7K
R26,R_0402_1005Metric,,110.9472,-94.6658,,,,,T,180,12K
R27,R_0603_1608Metric,,149.352,-69.56756,,,,,T,-90,200R
R28,R_0402_1005Metric,,110.49762,-120.92432,,,,,T,180,12k
R29,R_0402_1005Metric,,123.15444,-128.66772,,,,,T,-90,4.7K
R30,R_0402_1005Metric,,121.05132,-112.55248,,,,,T,90,4.7K
R31,R_0402_1005Metric,,122.09272,-112.55248,,,,,T,90,4.7K
R32,R_0402_1005Metric,,123.15698,-112.55248,,,,,T,90,4.7K
R33,R_0402_1005Metric,,124.15774,-128.66772,,,,,T,-90,10k
R34,R_0603_1608Metric,,152.07234,-69.56756,,,,,T,-90,4k
R35,R_0402,,183.8909,-75.72248,,,,,T,180,2k
R36,R_0402,,183.8909,-76.7461,,,,,T,180,2k
R37,R_0402,,183.8909,-110.39348,,,,,T,180,2k
R38,R_0402,,183.8909,-109.3724,,,,,T,180,2k
R39,R_0402,,183.8909,-127.19558,,,,,T,180,2k
R40,R_0402,,183.8909,-126.1872,,,,,T,180,2k
R41,R_0402,,183.8909,-93.56598,,,,,T,180,2k
R42,R_0402,,183.8909,-92.5449,,,,,T,180,2k
R44,R_0603,,166.12616,-70.84822,,,,,T,90,2k
T1,SOT-23-3,,150.70582,-72.84212,,,,,T,0,T-BJT-NPN
U4,SOIC-8_3.9x4.9mm_Pitch1.27mm,,124.0917,-82.76502,,,,,T,-90,~
U5,QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm_ThermalVias,,117.51232,-91.78798,,,,,T,180,~
U6,SOIC-8_3.9x4.9mm_Pitch1.27mm,,125.08992,-106.553,,,,,T,0,~
Y1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,,110.93958,-85.95166,,,,,T,90,Crystal_GND24_Small
Y2,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,,111.78032,-130.49758,,,,,T,135,Crystal_GND24_Small
jmb1,QFN-64-1EP_9x9mm_P0.5mm_EP3.4x3.4mm_ThermalVias,,118.5926,-120.6246,,,,,T,180,~
